Stack usage report (sorted by stack size):

Stack Size  Function                                  File           
80          class_defineObjectMethod                  PikaObj.c      
80          class_defineStaticMethod                  PikaObj.c      
80          _do_obj_runChar                           PikaObj.c      
80          __obj_shellLineHandler_REPL               PikaObj.c      
80          pika_eventListener_registEventHandler     PikaObj.c      
80          pika_eventListener_getEventHandleObj      PikaObj.c      
80          __eventListener_runEvent                  PikaObj.c      
80          builtins_int                              PikaObj.c      
80          builtins_cformat                          PikaObj.c      
80          _type                                     PikaObj.c      
80          _max_min                                  PikaObj.c      
80          builtins_bytearray___next__               PikaObj.c      
80          builtins_bytearray___str__                PikaObj.c      
80          queue_pushArg                             dataQueue.c    
80          strCut                                    dataString.c   
80          strGetLastToken                           dataString.c   
80          strRemovePrefix                           dataString.c   
80          Lexer_printTokenStream                    PikaParser.c   
80          Lexer_setSymbel                           PikaParser.c   
80          _AST_parse_list                           PikaParser.c   
80          Suger_import_as                           PikaParser.c   
80          Suger_import                              PikaParser.c   
80          parser_line2Target                        PikaParser.c   
80          ASM_addBlockDeepth                        PikaParser.c   
80          parser_ast2Doc                            PikaParser.c   
80          pikaCompileFileWithOutputName             PikaCompiler.c 
80          __foreach_handler_libWriteBytecode        PikaCompiler.c 
80          __foreach_handler_libWriteIndex           PikaCompiler.c 
80          LibObj_loadLibrary                        PikaCompiler.c 
80          _checkModuleType                          PikaCompiler.c 
80          pikaMaker_compileModuleWithList           PikaCompiler.c 
80          _do_pikaMaker_linkCompiledModules         PikaCompiler.c 
80          arg_setHeapStruct                         dataArg.c      
80          arg_append                                dataArg.c      
80          strsDeleteChar                            dataStrs.c     
80          strsGetFirstToken                         dataStrs.c     
80          strsPathJoin                              dataStrs.c     
80          strsFilePreProcess_ex                     dataStrs.c     
80          args_setHeapStructWithSize                dataArgs.c     
80          args_foreach                              dataArgs.c     
80          queueObj_pushObj                          dataQueueObj.c 
80          queueObj_getCurrentObj                    dataQueueObj.c 
80          queueObj_popObj                           dataQueueObj.c 
80          queueObj_pushInt                          dataQueueObj.c 
80          queueObj_popInt                           dataQueueObj.c 
80          queueObj_pushFloat                        dataQueueObj.c 
80          queueObj_popFloat                         dataQueueObj.c 
80          queueObj_pushStr                          dataQueueObj.c 
80          queueObj_popStr                           dataQueueObj.c 
80          __VMEvent_pickupEvent                     PikaVM.c       
80          obj_runMethodArg                          PikaVM.c       
80          _kw_to_pos_one                            PikaVM.c       
80          _load_call_arg                            PikaVM.c       
80          VM_instruction_handler_NUM                PikaVM.c       
80          _VM_JEZ                                   PikaVM.c       
80          VM_instruction_handler_JEZ                PikaVM.c       
80          VM_instruction_handler_JNZ                PikaVM.c       
80          __VM_instruction_handler_DEF              PikaVM.c       
80          VM_instruction_handler_RIS                PikaVM.c       
80          pikaVM_runByteCodeFile                    PikaVM.c       
80          _do_byteCodeFrame_loadByteCode            PikaVM.c       
80          PikaVMFrame_create                        PikaVM.c       
80          _pikaVM_runByteCodeFrameWithState         PikaVM.c       
80          constPool_printAsArray                    PikaVM.c       
80          pikaVM_runFile                            PikaVM.c       
80          pika_vprintf                              PikaPlatform.c 
80          pika_platform_thread_timer_cutdown        PikaPlatform.c 
80          pika_platform_thread_timer_is_expired     PikaPlatform.c 
80          pika_platform_thread_timer_remain         PikaPlatform.c 
80          _link_removeNode                          dataLink.c     
80          stack_pushPyload                          dataStack.c    
80          _stack_popArg                             dataStack.c    
72          byteCodeFrame_findInstructUnit            PikaVM.c       
64          fast_atoi                                 PikaObj.c      
64          obj_setInt                                PikaObj.c      
64          obj_setPtr                                PikaObj.c      
64          obj_setRef                                PikaObj.c      
64          obj_setFloat                              PikaObj.c      
64          obj_setStr                                PikaObj.c      
64          obj_setBytes                              PikaObj.c      
64          obj_getInt                                PikaObj.c      
64          obj_getBool                               PikaObj.c      
64          obj_loadBytes                             PikaObj.c      
64          obj_setObj                                PikaObj.c      
64          obj_getPtr                                PikaObj.c      
64          obj_getFloat                              PikaObj.c      
64          obj_getStr                                PikaObj.c      
64          obj_newObjFromConstructor                 PikaObj.c      
64          _obj_getMethodArg                         PikaObj.c      
64          _obj_getMethodArgWithFullPath             PikaObj.c      
64          class_defineConstructor                   PikaObj.c      
64          class_defineMethod                        PikaObj.c      
64          obj_removeArg                             PikaObj.c      
64          obj_isArgExist                            PikaObj.c      
64          obj_runNativeMethod                       PikaObj.c      
64          handle_history_navigation                 PikaObj.c      
64          _save_file                                PikaObj.c      
64          pikaGC_markSweep                          PikaObj.c      
64          obj_newDirectObj                          PikaObj.c      
64          obj_newMetaObj                            PikaObj.c      
64          pika_getByteCodeFromModule                PikaObj.c      
64          _do_pika_eventListener_send               PikaObj.c      
64          _transeInt                                PikaObj.c      
64          _transeBool                               PikaObj.c      
64          builtins_open                             PikaObj.c      
64          builtins_dir                              PikaObj.c      
64          builtins_getattr                          PikaObj.c      
64          builtins_hasattr                          PikaObj.c      
64          builtins_eval                             PikaObj.c      
64          builtins_abs                              PikaObj.c      
64          builtins_RangeObj___next__                PikaObj.c      
64          pikaList_forEach                          PikaObj.c      
64          pikaList_get                              PikaObj.c      
64          pikaList_pop_withIndex                    PikaObj.c      
64          pikaList_reverse                          PikaObj.c      
64          strDeleteChar                             dataString.c   
64          strAppendWithSize                         dataString.c   
64          strGetFirstToken                          dataString.c   
64          strPathGetFolder                          dataString.c   
64          strPathGetFileName                        dataString.c   
64          Lexer_isError                             PikaParser.c   
64          _remove_sub_stmt                          PikaParser.c   
64          Parser_checkIsDirect                      PikaParser.c   
64          Parser_sugerProcess                       PikaParser.c   
64          Parser_isVoidLine                         PikaParser.c   
64          parser_file2TargetFile                    PikaParser.c   
64          GenRule_toAsm                             PikaParser.c   
64          _strCheckCodeBlockFlag                    PikaParser.c   
64          pikaCompileFile                           PikaCompiler.c 
64          LibObj_dynamicLink                        PikaCompiler.c 
64          LibObj_staticLink                         PikaCompiler.c 
64          linker_fwrite                             PikaCompiler.c 
64          _getModuleNum                             PikaCompiler.c 
64          pikaMaker_setState                        PikaCompiler.c 
64          _openModuleFile                           PikaCompiler.c 
64          __foreach_handler_printStates             PikaCompiler.c 
64          pikaMaker_getFirstNocompiled              PikaCompiler.c 
64          pikaMaker_linkRaw_New                     PikaCompiler.c 
64          pikafs_fopen_pack                         PikaCompiler.c 
64          arg_create                                dataArg.c      
64          arg_set                                   dataArg.c      
64          arg_setBytes                              dataArg.c      
64          arg_print                                 dataArg.c      
64          arg_getBytesSize                          dataArg.c      
64          arg_setStrN                               dataArg.c      
64          arg_deinitHeap                            dataArg.c      
64          arg_loadFile                              dataArg.c      
64          strsRemovePrefix                          dataStrs.c     
64          strsReturnOut                             dataStrs.c     
64          strsGetLastToken                          dataStrs.c     
64          strsCut                                   dataStrs.c     
64          arg_strAppend                             dataStrs.c     
64          strsSubStr                                dataStrs.c     
64          args_setFloat                             dataArgs.c     
64          args_setPtrWithType                       dataArgs.c     
64          args_setRef                               dataArgs.c     
64          args_setStr                               dataArgs.c     
64          args_setBytes                             dataArgs.c     
64          args_setInt                               dataArgs.c     
64          args_setStructWithSize                    dataArgs.c     
64          args_copyArgByName                        dataArgs.c     
64          _updateArg                                dataArgs.c     
64          args_getNode_hash                         dataArgs.c     
64          args_reverse                              dataArgs.c     
64          VM_instruction_handler_NEW                PikaVM.c       
64          VM_instruction_handler_GER                PikaVM.c       
64          obj_runMethodArgWithState_noalloc         PikaVM.c       
64          _loadLocalsFromArgv                       PikaVM.c       
64          VM_instruction_handler_LST                PikaVM.c       
64          VM_instruction_handler_NLS                PikaVM.c       
64          VM_instruction_handler_RET                PikaVM.c       
64          _find_super_class_name                    PikaVM.c       
64          VM_instruction_handler_RAS                PikaVM.c       
64          operatorInfo_init                         PikaVM.c       
64          _OPT_POW                                  PikaVM.c       
64          VM_instruction_handler_NEL                PikaVM.c       
64          VM_instruction_handler_EST                PikaVM.c       
64          VM_instruction_handler_GLB                PikaVM.c       
64          VM_instruction_handler_INH                PikaVM.c       
64          pikaVM_registerInstructionSet             PikaVM.c       
64          pikaVM_run                                PikaVM.c       
64          pikaVM_runByteCodeReturn                  PikaVM.c       
64          instructArray_printAsArray                PikaVM.c       
64          PikaVMFrame_solveUnusedStack              PikaVM.c       
64          _no_buff_vprintf                          PikaPlatform.c 
64          _stack_pushArg                            dataStack.c    
56          PikaVMFrame_getAddrOffsetFromJmp          PikaVM.c       
56          PikaVMFrame_getInputArgNum                PikaVM.c       
56          instructUnit_getInstructStr               PikaVM.c       
48          fast_itoa                                 PikaObj.c      
48          obj_GC                                    PikaObj.c      
48          obj_setNone                               PikaObj.c      
48          obj_getBytes                              PikaObj.c      
48          obj_getBytesSize                          PikaObj.c      
48          obj_setArg                                PikaObj.c      
48          obj_setArg_noCopy                         PikaObj.c      
48          obj_getProp                               PikaObj.c      
48          obj_getMethodArgWithFullPath_noalloc      PikaObj.c      
48          obj_getMethodArg_noalloc                  PikaObj.c      
48          obj_getClassObj                           PikaObj.c      
48          getNewClassObjFunByName                   PikaObj.c      
48          newNormalObj                              PikaObj.c      
48          newRootObj                                PikaObj.c      
48          arg_newMetaObj                            PikaObj.c      
48          arg_newDirectObj                          PikaObj.c      
48          _arg_to_obj                               PikaObj.c      
48          obj_getObj                                PikaObj.c      
48          obj_getHostObj                            PikaObj.c      
48          obj_getHostObjWithIsTemp                  PikaObj.c      
48          methodArg_getPtr                          PikaObj.c      
48          methodArg_getHostObj                      PikaObj.c      
48          methodArg_setHostObj                      PikaObj.c      
48          obj_getNativeMethod                       PikaObj.c      
48          methodArg_getBytecodeFrame                PikaObj.c      
48          methodArg_getDec                          PikaObj.c      
48          methodArg_getDefContext                   PikaObj.c      
48          obj_isMethodExist                         PikaObj.c      
48          _putc_cmd                                 PikaObj.c      
48          _filter_msg_hi_pika_handler               PikaObj.c      
48          _filter_msg_bye_pika_handler              PikaObj.c      
48          _do_stream_filter                         PikaObj.c      
48          shHistory_create                          PikaObj.c      
48          shHistory_destroy                         PikaObj.c      
48          shHistory_add                             PikaObj.c      
48          _await_getchar                            PikaObj.c      
48          _temp__do_pikaScriptShell                 PikaObj.c      
48          method_returnObj                          PikaObj.c      
48          _pikaGC_markHandler                       PikaObj.c      
48          pikaGC_markObj                            PikaObj.c      
48          _pikaGC_mark                              PikaObj.c      
48          pikaGC_mark                               PikaObj.c      
48          _pikaGC_markDumpHandler                   PikaObj.c      
48          pikaGC_markDump                           PikaObj.c      
48          arg_setObj                                PikaObj.c      
48          arg_setRef                                PikaObj.c      
48          arg_setWeakRef                            PikaObj.c      
48          _append_help                              PikaObj.c      
48          obj_newObj                                PikaObj.c      
48          obj_importModuleWithByteCodeFrame         PikaObj.c      
48          obj_linkLibraryFile                       PikaObj.c      
48          obj_linkLibrary                           PikaObj.c      
48          obj_printModules                          PikaObj.c      
48          obj_importModule                          PikaObj.c      
48          obj_setEventCallback                      PikaObj.c      
48          pika_eventListener_removeEvent            PikaObj.c      
48          pika_eventListener_send                   PikaObj.c      
48          pika_eventListener_sendSignal             PikaObj.c      
48          pika_eventListener_sendSignalAwaitResult  PikaObj.c      
48          builtins_remove                           PikaObj.c      
48          builtins_float                            PikaObj.c      
48          builtins_bool                             PikaObj.c      
48          builtins_str                              PikaObj.c      
48          builtins___getitem__                      PikaObj.c      
48          builtins_len                              PikaObj.c      
48          builtins_tuple                            PikaObj.c      
48          builtins_id                               PikaObj.c      
48          builtins_setattr                          PikaObj.c      
48          __obj_shellLineHandler_input              PikaObj.c      
48          _do_vsysOut                               PikaObj.c      
48          builtins_isinstance                       PikaObj.c      
48          builtins_bytearray___getitem__            PikaObj.c      
48          builtins_bytearray___setitem__            PikaObj.c      
48          builtins_bytearray_decode                 PikaObj.c      
48          pika_sleep_ms                             PikaObj.c      
48          _New_pikaListOrTuple                      PikaObj.c      
48          pikaDict_init                             PikaObj.c      
48          pikaList_getInt                           PikaObj.c      
48          pikaList_getBool                          PikaObj.c      
48          pikaList_getFloat                         PikaObj.c      
48          pikaList_getStr                           PikaObj.c      
48          pikaList_getPtr                           PikaObj.c      
48          pikaList_getType                          PikaObj.c      
48          pikaList_pop                              PikaObj.c      
48          pikaList_getSize                          PikaObj.c      
48          pikaList_init                             PikaObj.c      
48          pikaDict_setInt                           PikaObj.c      
48          pikaDict_setBool                          PikaObj.c      
48          pikaDict_setFloat                         PikaObj.c      
48          pikaDict_setStr                           PikaObj.c      
48          pikaDict_setPtr                           PikaObj.c      
48          pikaDict_set                              PikaObj.c      
48          pikaDict_setBytes                         PikaObj.c      
48          queue_deinit                              dataQueue.c    
48          byteQueue_init                            dataQueue.c    
48          byteQueue_readOne                         dataQueue.c    
48          byteQueue_peekOne                         dataQueue.c    
48          byteQueue_writeOne                        dataQueue.c    
48          pikaMalloc                                dataMemory.c   
48          strPointToLastToken                       dataString.c   
48          strPopLastToken                           dataString.c   
48          strPopFirstToken                          dataString.c   
48          strAppend                                 dataString.c   
48          strIsStartWith                            dataString.c   
48          strGetLine                                dataString.c   
48          strGetLastLine                            dataString.c   
48          strPathFormat                             dataString.c   
48          strGetIndent                              dataString.c   
48          strIsBlank                                dataString.c   
48          strOnly                                   dataString.c   
48          strFind                                   dataString.c   
48          TokenStream_isContain                     PikaParser.c   
48          Cursor_count                              PikaParser.c   
48          Cursor_isContain                          PikaParser.c   
48          AST_setNodeAttr                           PikaParser.c   
48          Parser_popLastSubStmt                     PikaParser.c   
48          _AST_parse_list_comprehension             PikaParser.c   
48          Parser_getPyLineBlockDeepth               PikaParser.c   
48          line2Ast_withBlockDeepth                  PikaParser.c   
48          arg_strAddIndent                          PikaParser.c   
48          pika_lines2Bytes                          PikaParser.c   
48          pika_lines2Asm                            PikaParser.c   
48          parser_file2DocFile                       PikaParser.c   
48          arg_getBytecode                           PikaCompiler.c 
48          arg_getBytecodeSize                       PikaCompiler.c 
48          __handler_constPool_output_file           PikaCompiler.c 
48          __handler_instructArray_output_file       PikaCompiler.c 
48          New_LibObj                                PikaCompiler.c 
48          __foreach_handler_listModules             PikaCompiler.c 
48          __foreach_handler_selectBlockSize         PikaCompiler.c 
48          __foreach_handler_libSumSize              PikaCompiler.c 
48          _getPack_libraryBytes                     PikaCompiler.c 
48          __foreach_handler_printModule             PikaCompiler.c 
48          LibObj_loadLibraryFile                    PikaCompiler.c 
48          pika_fputs                                PikaCompiler.c 
48          pikaMaker_deinit                          PikaCompiler.c 
48          pikaMaker_getState                        PikaCompiler.c 
48          pikaMaker_compileModule                   PikaCompiler.c 
48          __foreach_handler_getFirstNocompiled      PikaCompiler.c 
48          pikaMaker_compileModuleWithDepends        PikaCompiler.c 
48          pikaMaker_linkRaw                         PikaCompiler.c 
48          pikafs_fopen                              PikaCompiler.c 
48          pikafs_fread                              PikaCompiler.c 
48          hash_time33EndWith                        dataArg.c      
48          hash_time33                               dataArg.c      
48          arg_create_hash                           dataArg.c      
48          arg_setNameHash                           dataArg.c      
48          arg_newContent                            dataArg.c      
48          arg_setStruct                             dataArg.c      
48          arg_getHeapStructDeinitFun                dataArg.c      
48          arg_setInt                                dataArg.c      
48          arg_setBool                               dataArg.c      
48          arg_setFloat                              dataArg.c      
48          arg_setPtr                                dataArg.c      
48          arg_setStr                                dataArg.c      
48          arg_getBool                               dataArg.c      
48          arg_refcntInc                             dataArg.c      
48          arg_refcntDec                             dataArg.c      
48          arg_copy_content                          dataArg.c      
48          arg_copy                                  dataArg.c      
48          arg_copy_noalloc                          dataArg.c      
48          arg_isEqual                               dataArg.c      
48          strsGetDirectStr                          dataStrs.c     
48          getSizeOfFirstToken                       dataStrs.c     
48          strsPopToken                              dataStrs.c     
48          strsCopy                                  dataStrs.c     
48          strsCacheArg                              dataStrs.c     
48          strsGetLine                               dataStrs.c     
48          strsPathFormat                            dataStrs.c     
48          strsPathGetFolder                         dataStrs.c     
48          strsPathGetFileName                       dataStrs.c     
48          args_getPtr                               dataArgs.c     
48          args_setPtr                               dataArgs.c     
48          args_setNone                              dataArgs.c     
48          args_pushArg                              dataArgs.c     
48          args_pushArg_name                         dataArgs.c     
48          args_getBuff                              dataArgs.c     
48          args_getStr                               dataArgs.c     
48          args_getBytes                             dataArgs.c     
48          args_getBytesSize                         dataArgs.c     
48          args_getInt                               dataArgs.c     
48          args_getBool                              dataArgs.c     
48          args_getType                              dataArgs.c     
48          args_getFloat                             dataArgs.c     
48          args_copyArg                              dataArgs.c     
48          args_getStruct                            dataArgs.c     
48          args_getHeapStruct                        dataArgs.c     
48          args_getArg_hash                          dataArgs.c     
48          args_getArg                               dataArgs.c     
48          args_getArgByIndex                        dataArgs.c     
48          args_moveArg                              dataArgs.c     
48          New_args                                  dataArgs.c     
48          args_getTuple                             dataArgs.c     
48          args_getDict                              dataArgs.c     
48          arg_setObjFlag                            PikaObj.h      
48          __eventListener_pushEvent                 PikaVM.c       
48          __eventListener_popEvent                  PikaVM.c       
48          PikaVMFrame_checkBreakPoint               PikaVM.c       
48          PikaVMFrame_getAddrOffsetOfRaise          PikaVM.c       
48          VMLocals_delLReg                          PikaVM.c       
48          Locals_delLReg                            PikaVM.c       
48          VMLocals_clearReg                         PikaVM.c       
48          Locals_getLReg                            PikaVM.c       
48          New_Locals                                PikaVM.c       
48          Locals_deinit                             PikaVM.c       
48          PikaVMFrame_initReg                       PikaVM.c       
48          VM_instruction_handler_TRY                PikaVM.c       
48          _get_return_arg                           PikaVM.c       
48          obj_runMethodArgWithState                 PikaVM.c       
48          _type_list_parse                          PikaVM.c       
48          VM_instruction_handler_TPL                PikaVM.c       
48          _find_self_name                           PikaVM.c       
48          VM_instruction_handler_JMP                PikaVM.c       
48          VM_instruction_handler_SER                PikaVM.c       
48          VM_instruction_handler_DEF                PikaVM.c       
48          VM_instruction_handler_CLS                PikaVM.c       
48          VM_instruction_handler_DEL                PikaVM.c       
48          VM_instruction_handler_IMP                PikaVM.c       
48          __find_ins_idx_in_ins_set                 PikaVM.c       
48          pikaVM_getInstructFromAsm                 PikaVM.c       
48          constPool_append                          PikaVM.c       
48          constPool_getOffsetByData                 PikaVM.c       
48          constPool_getByIndex                      PikaVM.c       
48          constPool_print                           PikaVM.c       
48          instructUnit_print                        PikaVM.c       
48          instructUnit_printWithConst               PikaVM.c       
48          instructArray_printWithConst              PikaVM.c       
48          instructArray_print                       PikaVM.c       
48          pika_debug_check_break                    PikaVM.c       
48          pika_debug_set_break                      PikaVM.c       
48          pika_debug_reset_break                    PikaVM.c       
48          New_BaseObj                               BaseObj.c      
48          pika_putchar                              PikaPlatform.c 
48          pika_vsprintf                             PikaPlatform.c 
48          pika_platform_get_tick                    PikaPlatform.c 
48          pika_platform_strdup                      PikaPlatform.c 
48          pika_platform_vsnprintf                   PikaPlatform.c 
48          pika_platform_memset                      PikaPlatform.c 
48          pika_platform_memcpy                      PikaPlatform.c 
48          pika_platform_memcmp                      PikaPlatform.c 
48          pika_platform_memmove                     PikaPlatform.c 
48          pika_platform_fwrite                      PikaPlatform.c 
48          pika_platform_fread                       PikaPlatform.c 
48          pika_platform_fseek                       PikaPlatform.c 
48          _link_deinit_pyload                       dataLink.c     
48          link_addNode                              dataLink.c     
48          New_link                                  dataLink.c     
48          New_TinyObj                               TinyObj.c      
48          stack_spFree                              dataStack.c    
48          stack_spSizeFree                          dataStack.c    
48          stack_deinit                              dataStack.c    
48          stack_pushStr                             dataStack.c    
48          stack_popStr                              dataStack.c    
40          pikaGC_clean                              PikaObj.c      
40          obj_removeGcChain                         PikaObj.c      
40          PikaVMFrame_getBlockDeepthNow             PikaVM.c       
40          PikaVMFrame_getInvokeDeepthNow            PikaVM.c       
40          PikaVMFrame_getAddrOffsetOfBreak          PikaVM.c       
40          PikaVMFrame_getAddrOffsetOfContinue       PikaVM.c       
40          VMLocals_setLReg                          PikaVM.c       
40          byteCodeFrame_findInsForward              PikaVM.c       
40          byteCodeFrame_findInsUnitBackward         PikaVM.c       
40          link_getSize                              dataLink.c     
32          arg_getType                               dataArg.h      
32          arg_newInt                                dataArg.h      
32          arg_newBool                               dataArg.h      
32          arg_newFloat                              dataArg.h      
32          arg_newPtr                                dataArg.h      
32          arg_newStr                                dataArg.h      
32          arg_newBytes                              dataArg.h      
32          arg_isSerialized                          dataArg.h      
